Time,Pressure,PCS Setpoint,Motor Z,Motor T,Heat1 Setpoint,"Heat1, V","Heat1, A","Heat 1, T",Heat2 Setpoint,"Heat2, V","Heat2, A","Heat2, T",Bias Setpoint,"Bias, V","Bias, A",Bx,By,Bz
13:32:59,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:00,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:01,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:02,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:03,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:04,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:05,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:06,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:07,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:08,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:09,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:10,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:11,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:12,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:13,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:14,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:15,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:16,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:17,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:18,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:19,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:20,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:21,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:22,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:23,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:24,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:26,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:27,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:28,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:29,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:30,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:31,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:32,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:33,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:34,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:35,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:36,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:37,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:38,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:39,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:40,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:41,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:42,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:43,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:44,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:45,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:46,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:47,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:48,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:49,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:50,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:51,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:52,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:53,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:54,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:55,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:56,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:57,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:33:59,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:00,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:01,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:02,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:03,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:04,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:05,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:06,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:07,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:08,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:09,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:10,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:11,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:12,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:13,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:14,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:15,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:16,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:17,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:18,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:19,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:20,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:21,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:22,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:23,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:24,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:25,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:26,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:27,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:29,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:30,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:31,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:32,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:33,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:34,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:35,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:36,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:37,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:38,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:39,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:40,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:41,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:42,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:43,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:44,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:45,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:46,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:47,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:48,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:49,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:50,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:51,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:52,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:53,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:54,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:55,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:56,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:57,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:34:58,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:00,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:01,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:02,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:03,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:04,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:05,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:06,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:07,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:08,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:09,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:10,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:11,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:12,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:13,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:14,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:15,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:16,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:17,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:18,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:19,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:20,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:21,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:22,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:23,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:24,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:25,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:26,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:27,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:28,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:29,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:31,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:32,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:33,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:34,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:35,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:36,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:37,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:38,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:39,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:40,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:41,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:42,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:43,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:44,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:45,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:46,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:47,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:48,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:49,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:50,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:51,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:52,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:53,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:54,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:55,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:56,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:57,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:58,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:35:59,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:00,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:01,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:03,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:04,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:05,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:06,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:07,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:08,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:09,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:10,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:11,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:12,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:13,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:14,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:15,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:16,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:17,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:18,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:19,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:20,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:21,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:22,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:23,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:24,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:25,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:26,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:27,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:28,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:29,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:30,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:31,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:33,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:34,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:35,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:36,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:37,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:38,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:39,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:40,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:41,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:42,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:43,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:44,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:45,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:46,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:47,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:48,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:49,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:50,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:51,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:52,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:53,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:54,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:55,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:56,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:57,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:58,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:36:59,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:00,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:01,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:03,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:04,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:05,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:06,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:07,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:08,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:09,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:10,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:11,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:12,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:13,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:14,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:15,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:16,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:17,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:18,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:19,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:20,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:21,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:22,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:23,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:24,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:25,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:26,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:27,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:28,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:29,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:30,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:31,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:32,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:33,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:34,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:36,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:37,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:38,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:39,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:40,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:41,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:42,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:43,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:44,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:45,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:46,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:47,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:48,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:49,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:50,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:51,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:52,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:53,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:54,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:55,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:56,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:57,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:58,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:37:59,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:00,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:01,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:02,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:03,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:04,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:05,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:07,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:08,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:09,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:10,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:11,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:12,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:13,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:14,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:15,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:16,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:17,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:18,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:19,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:20,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:21,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:22,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:23,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:24,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:25,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:26,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:27,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:28,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:29,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:30,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:31,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:32,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:33,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:34,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:35,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:36,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:38,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:39,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:40,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:41,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:42,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:43,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:44,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:45,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:46,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:47,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:48,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:49,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:50,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:51,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:52,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:53,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:54,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
13:38:55,0.001,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0
